ind	href	item_name	value	extra_services
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом, швейное производство. 500 ед	790 ₽ за услугу	Пошив одежды|790 ₽ за ед.
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом Худи, Свитшоты, Футболки	от 150 ₽ за изделие	Пошив оптом (от 1 рулона)|от 150 ₽ за ед.; Шелкография|от 30 ₽ за ед.; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швея по ремонту и пошиву одежды	от 100 ₽ за услугу	Подгонка по фигуре, ушивание одежды|от 1 000 ₽; Ремонт одежды|от 100 ₽; Ещё 5 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды для маркетплейсов	от 100 ₽ за услугу	Пошив одежды|от 1 000 ₽; Производство одежды|от 1 000 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив футболок, толстовок,одежды из трикотажа	200 ₽ за услугу	Пошив одежды|250 ₽; Производство одежды|300 ₽; Ещё 3 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт и покраска обуви	от 350 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив нижнего белья оптом	100 ₽ за услугу	пошив нижнего белья оптом|100 ₽ за ед.
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт и Пошив шуб : норка, соболь, каракуль	1 200 ₽ за услугу	Ремонт одежды|1 000 ₽; Замена молнии и замка|2 500 ₽; Ещё 10 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт, реставрация и химчистка брендовой обуви	от 1 000 ₽ за услугу	Ремонт обуви|от 2 500 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом	100 ₽ за услугу	Пошив одежды|100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом	от 150 ₽ за услугу	Пошив футболок|от 230 ₽ за ед.; Пошив худи|от 480 ₽ за ед.; Ещё 6 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив нижнего белья	от 200 ₽ за услугу	Пошив одежды|от 300 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автомобильных ключей	от 1 500 ₽ за услугу	Изготовление автомобильных ключей|от 1 500 ₽; Замена или установка замка|1 500 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды/Швейное производство	Цена договорная	Производство одежды|200 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт Часов.Реставрация старинных Настенных часов	от 1 000 ₽ за услугу	Установка стрелок|1 000 ₽; Замена батарейки|от 800 ₽; Ещё 12 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт ювелирных изделий и изготовление на заказ	от 1 200 ₽ за услугу	Пайка|от 1 200 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт шуб меха норки каракуля	500 ₽ за услугу	Ремонт шубы|от 500 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды на заказ	от 500 ₽ за услугу	Пошив штор|200 ₽; Машинная вышивка|от 100 ₽; Ещё 4 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Заточка маникюрного инструмента/Ремонт аппаратов	от 100 ₽	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автоключей, чип ключ	от 1 500 ₽ за услугу	Изготовление автомобильных ключей|от 1 500 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт очков, ювелирная мастерская	от 300 ₽ за услугу	Лазерная гравировка|от 500 ₽; Пайка|от 500 ₽; Ещё 4 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Массовый пошив лонгсливов, боди, худи на заказ	от 520 ₽ за изделие	Пошив одежды|от 520 ₽ за ед.; Производство одежды|от 520 ₽ за ед.
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Разработка лекал, пошив образцов	от 199 ₽ за услугу	Изготовление лекал|от 1 500 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Оптовый пошив одежды	от 900 ₽ за изделие	Пошив одежды|от 900 ₽ за ед.; Изготовление лекал|от 900 ₽ за ед.; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив, перекрой и реставрация меховых изделий	от 2 000 ₽ за услугу	Ремонт одежды|1 000 ₽; Ремонт шубы|от 2 500 ₽; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Цех по пошиву одежды	от 100 ₽ за услугу	пошив футболки|от 200 ₽; пошив худи|от 400 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление и печать бирок для одежды	от 3 ₽ за услугу	Печать сатиновых бирок|от 3 ₽ за ед.; Изготовление жаккардовых бирок|от 7 ₽ за ед.; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Разработка лекал. Пошив образцов	1 500 ₽ за услугу	Изготовление лекал|от 1 500 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Петли, пуговицы, закрепки, пояса	от 10 ₽ за услугу	Прямая петля|от 10 ₽ за ед.; Установка пуговицы|от 10 ₽ за ед.; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автомобильных ключей	от 1 000 ₽ за услугу	Изготовление автомобильных ключей|от 1 000 ₽; Ремонт замка зажигания|от 3 000 ₽; Ещё 5 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Конструктор одежды Лекала - Твори свой стиль	500 ₽ за услугу	Изготовление лекал|1 000 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Запуск бренда одежды. Лекала. Швейный Цех	от 1 000 ₽ за услугу	Пошив одежды|от 599 ₽; Изготовление лекал|от 800 ₽; Ещё 3 услуги
